Название,Тип,Подтип,Материал,Стиль,Ш,Г,В,Цвет,Ссылка
OM Диван Кембридж лиловый велюр,Мебель,Диваны,Ткань,Классический,150 см,82 см,93 см,"rgb(255, 202, 218)",https://3ddd.ru/3dmodels/show/om_divan_kembridzh_lilovyi_veliur
OM Диван Benji прямой синий,Мебель,Диваны,Ткань,Современный,220 см,90 см,75 см,"rgb(38, 80, 218)",https://3ddd.ru/3dmodels/show/om_divan_benji_priamoi_sinii
OM Диван Penelope Sofa прямой розовый,Мебель,Диваны,Ткань,Современный,218 см,91 см,74 см,"rgb(255, 202, 218)",https://3ddd.ru/3dmodels/show/om_divan_penelope_sofa_priamoi_rozovyi
OM Диван Vierra двухместный прямой коричневый,Мебель,Диваны,Ткань,Современный,150 см,85 см,67 см,"rgb(120, 60, 0)",https://3ddd.ru/3dmodels/show/om_divan_vierra_dvukhmestnyi_priamoi_korichnevyi
OM Диван Jack 2 трехместный прямой синий,Мебель,Диваны,Ткань,Современный,220 см,90 см,78 см,"rgb(38, 80, 218)",https://3ddd.ru/3dmodels/show/om_divan_jack_2_trekhmestnyi_priamoi_sinii
ОМ - Пуф Лаппхунд,Мебель,Другая мягкая мебель,Мех,Современный,400 см,400 см,480 см,,https://3ddd.ru/3dmodels/show/om_puf_lappkhund
Пуф Lull,Мебель,Другая мягкая мебель,Ткань,Современный,96 см,96 см,42 см,"rgb(128, 128, 128)",https://3ddd.ru/3dmodels/show/puf_lull
OM Банкетка Candy,Мебель,Другая мягкая мебель,"Металл, Дерево",Современный,,,,"rgb(128, 128, 128)",https://3ddd.ru/3dmodels/show/om_banketka_candy
ОМ Кушетка Azarova Home Stolz,Мебель,Другая мягкая мебель,"Дерево, Кожа",Современный,170 см,80 см,45 см,"rgb(0, 0, 0)",https://3ddd.ru/3dmodels/show/om_kushetka_azarova_home_stolz
Пуф,Мебель,Другая мягкая мебель,"Дерево, Ткань",Классический,55 см,42 см,48 см,"rgb(234, 214, 189)",https://3ddd.ru/3dmodels/show/puf_346
Скамья с зонтницей Ньюхэван в стиле лофт,Мебель,Другое,"Металл, Дерево",Современный,120 см,35 см,45 см,"rgb(0, 0, 0)",https://3ddd.ru/3dmodels/show/skamia_s_zontnitsei_niukhevan_v_stile_loft
Табурет LoftDesigne 1570 model,Мебель,Другое,Дерево,Этнический,30 см,30 см,45.5 см,"rgb(234, 214, 189)",https://3ddd.ru/3dmodels/show/taburet_loftdesigne_1570_model
Табурет LoftDesigne 1569 model,Мебель,Другое,Дерево,Этнический,35 см,35 см,45 см,"rgb(120, 60, 0)",https://3ddd.ru/3dmodels/show/taburet_loftdesigne_1569_model
ОМ Klassik Bookcase,Мебель,Другое,Металл,Классический,,,,"rgb(120, 60, 0)",https://3ddd.ru/3dmodels/show/om_klassik_bookcase
OM Угловые полки Steel House для ванной,Мебель,Другое,Металл,Современный,,,,"rgb(0, 0, 0)",https://3ddd.ru/3dmodels/show/om_uglovye_polki_steel_house_dlia_vannoi_1
OM Консоль Candy,Мебель,Консоль,"Металл, Дерево",Классический,,,,"rgb(128, 128, 128)",https://3ddd.ru/3dmodels/show/om_konsol_candy
Консоль LoftDesigne 80584 model,Мебель,Консоль,Дерево,Этнический,142 см,55 см,78.5 см,"rgb(234, 214, 189)",https://3ddd.ru/3dmodels/show/konsol_loftdesigne_80584_model
OM Стол Консоль BERN Aрхипелаго,Мебель,Консоль,"Металл, Камень",Классический,130 см,36 см,85 см,"rgb(0, 0, 0)",https://3ddd.ru/3dmodels/show/om_stol_konsol_bern_arkhipelago
Консоль,Мебель,Консоль,Металл,Современный,,,,"rgb(128, 128, 128)",https://3ddd.ru/3dmodels/show/konsol_222
OM Медиа-консоль со стеклянными дверцами 180 Сент-Джеймс,Мебель,Консоль,Дерево,Классический,180 см,55 см,80 см,"rgb(120, 60, 0)",https://3ddd.ru/3dmodels/show/om_media_konsol_so_stekliannymi_dvertsami_180_sent_dzheims_1
ОМ - Кресло Каст кожаное,Мебель,Кресла,"Металл, Кожа",Современный,810 см,770 см,850 см,,https://3ddd.ru/3dmodels/show/om_kreslo_kast_kozhanoe
ОМ - Кресло Лаппхунд,Мебель,Кресла,"Ткань, Мех",Современный,1400 см,1200 см,720 см,,https://3ddd.ru/3dmodels/show/om_kreslo_lappkhund
ОМ - Кресло Каст тканевое,Мебель,Кресла,"Металл, Ткань",Современный,800 см,770 см,870 см,,https://3ddd.ru/3dmodels/show/om_kreslo_kast_tkanevoe
Стул «Василий» из кожи,Мебель,Кресла,"Металл, Кожа",Современный,760 см,760 см,650 см,"rgb(0, 0, 0)",https://3ddd.ru/3dmodels/show/stul_vasilii_iz_kozhi
"Beth, кресло для лаунж",Мебель,Кресла,"Металл, Ткань",Современный,,,,"rgb(128, 128, 128)",https://3ddd.ru/3dmodels/show/beth_kreslo_dlia_launzh
Bridge bed,Мебель,Кровати,Ткань,Современный,,,,"rgb(128, 128, 128)",https://3ddd.ru/3dmodels/show/bridge_bed_1
Barolo кровать Como Casa,Мебель,Кровати,Ткань,Современный,236 см,200 см,100 см,,https://3ddd.ru/3dmodels/show/barolo_krovat_como_casa_1
ОМ кровать KRISTIE mebel HILTON,Мебель,Кровати,Ткань,Современный,250 см,210 см,75 см,"rgb(128, 128, 128)",https://3ddd.ru/3dmodels/show/om_krovat_kristie_mebel_hilton
Кровать Brooklyn,Мебель,Кровати,Ткань,Современный,216 см,206 см,100 см,"rgb(128, 128, 128)",https://3ddd.ru/3dmodels/show/krovat_brooklyn_3
Todi кровать от Como Casa,Мебель,Кровати,"Металл, Ткань",Современный,225 см,200 см,950 см,,https://3ddd.ru/3dmodels/show/todi_krovat_ot_como_casa
OM Mayer S243 компьютерное офисное кресло,Мебель,Офисная мебель,Ткань,Современный,,,,"rgb(0, 0, 0)",https://3ddd.ru/3dmodels/show/om_mayer_s243_kompiuternoe_ofisnoe_kreslo
KANT. Письменный стол производства Tohma,Мебель,Офисная мебель,Дерево,Современный,138 см,51 см,78 см,,https://3ddd.ru/3dmodels/show/kant_pismennyi_stol_proizvodstva_tohma_1
TESLA. Компьютерный стол производства Tohma,Мебель,Офисная мебель,"Дерево, Кожа",Современный,142 см,64 см,78 см,,https://3ddd.ru/3dmodels/show/tesla_kompiuternyi_stol_proizvodstva_tohma
GRIN Письменный стол производства Tohma,Мебель,Офисная мебель,"Металл, Дерево",Современный,120 см,70 см,82 см,,https://3ddd.ru/3dmodels/show/grin_pismennyi_stol_proizvodstva_tohma
OM Mayer S190 компьютерное офисное кресло,Мебель,Офисная мебель,"Металл, Ткань",Современный,,,,"rgb(128, 128, 128)",https://3ddd.ru/3dmodels/show/om_mayer_s190_kompiuternoe_ofisnoe_kreslo
Вешалки для одежды Como,Мебель,Прихожая,Дерево,Современный,,,,"rgb(120, 60, 0)",https://3ddd.ru/3dmodels/show/veshalki_dlia_odezhdy_como
вешалка настенная Терра с зеркалом,Мебель,Прихожая,"Металл, Кожа",Классический,,,,"rgb(255, 255, 255)",https://3ddd.ru/3dmodels/show/veshalka_nastennaia_terra_s_zerkalom
Подставки для обуви и полотецедержатель OMINIMALISM,Мебель,Прихожая,Металл,Современный,,,,"rgb(255, 255, 255)",https://3ddd.ru/3dmodels/show/podstavki_dlia_obuvi_i_polotetsederzhatel_ominimalism
Прихожая Бьянко графит,Мебель,Прихожая,"Металл, Дерево",Современный,,,,"rgb(128, 128, 128)",https://3ddd.ru/3dmodels/show/prikhozhaia_bianko_grafit
Vladon furniture set,Мебель,Прихожая,"Стекло, Пластик",Современный,,,,"rgb(192, 0, 0)",https://3ddd.ru/3dmodels/show/vladon_furniture_set
ОМ THE-IDEA узкая витрина CASE 163,Мебель,Стеллаж,Дерево,Современный,58 см,45 см,190 см,"rgb(255, 255, 255)",https://3ddd.ru/3dmodels/show/om_the_idea_uzkaia_vitrina_case_163
ОМ THE-IDEA узкая витрина CASE 162,Мебель,Стеллаж,Дерево,Современный,58 см,45 см,190 см,"rgb(128, 128, 128)",https://3ddd.ru/3dmodels/show/om_the_idea_uzkaia_vitrina_case_162
Стеллаж Тайрон Drops,Мебель,Стеллаж,Дерево,Современный,,,,"rgb(234, 214, 189)",https://3ddd.ru/3dmodels/show/stellazh_tairon_drops
СТЕЛЛАЖ 2 ЯЩИКА,Мебель,Стеллаж,Дерево,Классический,124 см,46 см,199 см,"rgb(234, 214, 189)",https://3ddd.ru/3dmodels/show/stellazh_2_iashchika
Подвесной стеллаж LoftDesigne 82753 model,Мебель,Стеллаж,"Металл, Дерево",Современный,20 см,65 см,80 см,"rgb(234, 214, 189)",https://3ddd.ru/3dmodels/show/podvesnoi_stellazh_loftdesigne_82753_model
ОМ - Обеденный стол и скамья,Мебель,Стол + стул,Дерево,Современный,,,,,https://3ddd.ru/3dmodels/show/om_obedennyi_stol_i_skamia_1
(ОМ) Обеденная группа Николет Romano Home,Мебель,Стол + стул,"Дерево, Ткань",Классический,,,,"rgb(255, 255, 255)",https://3ddd.ru/3dmodels/show/om_obedennaia_gruppa_nikolet_romano_home
OM ODENSE Dining group by Pohjanmaan Kaluste Oy,Мебель,Стол + стул,"Дерево, Ткань",Современный,150 см,90 см,74 см,,https://3ddd.ru/3dmodels/show/om_odense_dining_group_by_pohjanmaan_kaluste_oy_3
OM ODENSE Dining group by Pohjanmaan Kaluste Oy,Мебель,Стол + стул,"Дерево, Ткань",Современный,,,,,https://3ddd.ru/3dmodels/show/om_odense_dining_group_by_pohjanmaan_kaluste_oy_1
Комплект мебели из бетона со спинками Concretika Free,Мебель,Стол + стул,Бетон,Современный,,,,"rgb(128, 128, 128)",https://3ddd.ru/3dmodels/show/komplekt_mebeli_iz_betona_so_spinkami_concretika_free
NEST. Обеденный стол производства Tohma.,Мебель,Столы,Дерево,Современный,160 см,80 см,75 см,,https://3ddd.ru/3dmodels/show/nest_obedennyi_stol_proizvodstva_tohma
RIGHT. Обеденный стол производства Tohma.,Мебель,Столы,Дерево,Современный,160 см,80 см,75 см,,https://3ddd.ru/3dmodels/show/right_obedennyi_stol_proizvodstva_tohma_1
RAY. Обеденный стол производства Tohma.,Мебель,Столы,Дерево,Современный,2000 см,1000 см,750 см,,https://3ddd.ru/3dmodels/show/ray_obedennyi_stol_proizvodstva_tohma
Обеденный Стол Kronco Fre,Мебель,Столы,Камень,Современный,120 см,120 см,75 см,"rgb(0, 0, 0)",https://3ddd.ru/3dmodels/show/obedennyi_stol_kronco_fre
NORTON. Прямоугольный дубовый стол производства Tohma,Мебель,Столы,Дерево,Современный,160 см,80 см,75 см,,https://3ddd.ru/3dmodels/show/norton_priamougolnyi_dubovyi_stol_proizvodstva_tohma_2
Стул «Василий» из ковра,Мебель,Стулья,"Металл, Ткань",Этнический,760 см,760 см,650 см,"rgb(192, 0, 0)",https://3ddd.ru/3dmodels/show/stul_vasilii_iz_kovra
Chair GENUI S-6114 4Union.ru,Мебель,Стулья,Кожа,Современный,,,,"rgb(128, 128, 128)",https://3ddd.ru/3dmodels/show/chair_genui_s_6114_4union_ru_2
Chair PINTER 4Union.ru S-6115,Мебель,Стулья,Кожа,Современный,,,,"rgb(120, 60, 0)",https://3ddd.ru/3dmodels/show/chair_pinter_4union_ru_s_6115_1
Chair S-6108 4Union.ru,Мебель,Стулья,Кожа,Современный,,,,"rgb(0, 0, 0)",https://3ddd.ru/3dmodels/show/chair_s_6108_4union_ru_1
LION-M. Дубовый стул производства Tohma,Мебель,Стулья,"Дерево, Ткань",Современный,49 см,51 см,79 см,,https://3ddd.ru/3dmodels/show/lion_m_dubovyi_stul_proizvodstva_tohma
(ОМ) Тв стенка Николь Romano Home,Мебель,ТВ стенка,Дерево,Классический,,,,"rgb(255, 255, 255)",https://3ddd.ru/3dmodels/show/om_tv_stenka_nikol_romano_home
Woiss Mobili Luna Tv Unit,Мебель,ТВ стенка,"Дерево, Ткань",Современный,,,,"rgb(120, 60, 0)",https://3ddd.ru/3dmodels/show/woiss_mobili_luna_tv_unit
стенка ТВ с зеркальными фасадами OM,Мебель,ТВ стенка,Дерево,Классический,,,,"rgb(234, 214, 189)",https://3ddd.ru/3dmodels/show/stenka_tv_s_zerkalnymi_fasadami_om
Стенка для гостиной Милан,Мебель,ТВ стенка,Дерево,Современный,,,,"rgb(128, 128, 128)",https://3ddd.ru/3dmodels/show/stenka_dlia_gostinoi_milan
Tv Wall 3,Мебель,ТВ стенка,Камень,Современный,,,,"rgb(0, 0, 0)",https://3ddd.ru/3dmodels/show/tv_wall_3_7
OM Приставной столик Candy,Мебель,Туалетный столик,"Металл, Дерево",Современный,,,,"rgb(128, 128, 128)",https://3ddd.ru/3dmodels/show/om_pristavnoi_stolik_candy
Консоль Monstera Deliciosa,Мебель,Туалетный столик,"Металл, Стекло",Классический,80 см,30 см,81 см,"rgb(128, 128, 128)",https://3ddd.ru/3dmodels/show/konsol_monstera_deliciosa_1
ОМ. Стол туалетный Эвиан 95,Мебель,Туалетный столик,Дерево,Классический,,,,"rgb(120, 60, 0)",https://3ddd.ru/3dmodels/show/om_stol_tualetnyi_evian_95
(ОМ) Bellotti Ezio 3705,Мебель,Туалетный столик,"Дерево, Камень",Классический,142 см,53 см,80 см,,https://3ddd.ru/3dmodels/show/om_bellotti_ezio_3705
(ОМ) Bellotti Ezio 3715,Мебель,Туалетный столик,"Дерево, Камень",Классический,142 см,53 см,80 см,,https://3ddd.ru/3dmodels/show/om_bellotti_ezio_3715_1
Andrea ТВ тумба,Мебель,"Тумбы, комоды",Дерево,Современный,,,,"rgb(234, 214, 189)",https://3ddd.ru/3dmodels/show/andrea_tv_tumba
"Angelica, буфет с керамической столешницей",Мебель,"Тумбы, комоды","Дерево, Камень",Современный,,,,"rgb(255, 255, 255)",https://3ddd.ru/3dmodels/show/angelica_bufet_s_keramicheskoi_stoleshnitsei
ОМ - Прикроватная тумба Ascet,Мебель,"Тумбы, комоды",Дерево,Современный,390 см,390 см,410 см,,https://3ddd.ru/3dmodels/show/om_prikrovatnaia_tumba_ascet
(ОМ) Тумбочка №12 Мэйлин Romano Home,Мебель,"Тумбы, комоды",Дерево,Этнический,,,,"rgb(0, 0, 0)",https://3ddd.ru/3dmodels/show/om_tumbochka_12_meilin_romano_home
ОМ THE-IDEA тумба под ТВ CASE 094,Мебель,"Тумбы, комоды",Дерево,Современный,184 см,45 см,56 см,"rgb(48, 213, 199)",https://3ddd.ru/3dmodels/show/om_the_idea_tumba_pod_tv_case_094
ОМ THE-IDEA узкая витрина CASE 164,Мебель,Шкафы,"Дерево, Стекло",Классический,58 см,45 см,212 см,"rgb(120, 60, 0)",https://3ddd.ru/3dmodels/show/om_the_idea_uzkaia_vitrina_case_164
Шкаф Osobica,Мебель,Шкафы,Дерево,Современный,90 см,40 см,170 см,,https://3ddd.ru/3dmodels/show/shkaf_osobica_1
ОМ THE-IDEA узкая витрина CASE 161,Мебель,Шкафы,"Дерево, Стекло",Современный,58 см,45 см,190 см,"rgb(234, 214, 189)",https://3ddd.ru/3dmodels/show/om_the_idea_uzkaia_vitrina_case_161
Шкаф LoftDesigne 80595 model,Мебель,Шкафы,Дерево,Этнический,120 см,45 см,230 см,"rgb(0, 0, 0)",https://3ddd.ru/3dmodels/show/shkaf_loftdesigne_80595_model
Стеллаж,Мебель,Шкафы,Дерево,Классический,124 см,46 см,199 см,"rgb(120, 60, 0)",https://3ddd.ru/3dmodels/show/stellazh_115
Стул «Василий» из ковра,Мебель,Стулья,"Металл, Ткань",Этнический,760 см,760 см,650 см,"rgb(192, 0, 0)",https://3ddd.ru/3dmodels/show/stul_vasilii_iz_kovra
Chair GENUI S-6114 4Union.ru,Мебель,Стулья,Кожа,Современный,,,,"rgb(128, 128, 128)",https://3ddd.ru/3dmodels/show/chair_genui_s_6114_4union_ru_2
Chair PINTER 4Union.ru S-6115,Мебель,Стулья,Кожа,Современный,,,,"rgb(120, 60, 0)",https://3ddd.ru/3dmodels/show/chair_pinter_4union_ru_s_6115_1
Chair S-6108 4Union.ru,Мебель,Стулья,Кожа,Современный,,,,"rgb(0, 0, 0)",https://3ddd.ru/3dmodels/show/chair_s_6108_4union_ru_1
LION-M. Дубовый стул производства Tohma,Мебель,Стулья,"Дерево, Ткань",Современный,49 см,51 см,79 см,,https://3ddd.ru/3dmodels/show/lion_m_dubovyi_stul_proizvodstva_tohma
(ОМ) Тв стенка Николь Romano Home,Мебель,ТВ стенка,Дерево,Классический,,,,"rgb(255, 255, 255)",https://3ddd.ru/3dmodels/show/om_tv_stenka_nikol_romano_home
Woiss Mobili Luna Tv Unit,Мебель,ТВ стенка,"Дерево, Ткань",Современный,,,,"rgb(120, 60, 0)",https://3ddd.ru/3dmodels/show/woiss_mobili_luna_tv_unit
стенка ТВ с зеркальными фасадами OM,Мебель,ТВ стенка,Дерево,Классический,,,,"rgb(234, 214, 189)",https://3ddd.ru/3dmodels/show/stenka_tv_s_zerkalnymi_fasadami_om
Стенка для гостиной Милан,Мебель,ТВ стенка,Дерево,Современный,,,,"rgb(128, 128, 128)",https://3ddd.ru/3dmodels/show/stenka_dlia_gostinoi_milan
Tv Wall 3,Мебель,ТВ стенка,Камень,Современный,,,,"rgb(0, 0, 0)",https://3ddd.ru/3dmodels/show/tv_wall_3_7
OM Приставной столик Candy,Мебель,Туалетный столик,"Металл, Дерево",Современный,,,,"rgb(128, 128, 128)",https://3ddd.ru/3dmodels/show/om_pristavnoi_stolik_candy
Консоль Monstera Deliciosa,Мебель,Туалетный столик,"Металл, Стекло",Классический,80 см,30 см,81 см,"rgb(128, 128, 128)",https://3ddd.ru/3dmodels/show/konsol_monstera_deliciosa_1
ОМ. Стол туалетный Эвиан 95,Мебель,Туалетный столик,Дерево,Классический,,,,"rgb(120, 60, 0)",https://3ddd.ru/3dmodels/show/om_stol_tualetnyi_evian_95
(ОМ) Bellotti Ezio 3705,Мебель,Туалетный столик,"Дерево, Камень",Классический,142 см,53 см,80 см,,https://3ddd.ru/3dmodels/show/om_bellotti_ezio_3705
(ОМ) Bellotti Ezio 3715,Мебель,Туалетный столик,"Дерево, Камень",Классический,142 см,53 см,80 см,,https://3ddd.ru/3dmodels/show/om_bellotti_ezio_3715_1
Andrea ТВ тумба,Мебель,"Тумбы, комоды",Дерево,Современный,,,,"rgb(234, 214, 189)",https://3ddd.ru/3dmodels/show/andrea_tv_tumba
"Angelica, буфет с керамической столешницей",Мебель,"Тумбы, комоды","Дерево, Камень",Современный,,,,"rgb(255, 255, 255)",https://3ddd.ru/3dmodels/show/angelica_bufet_s_keramicheskoi_stoleshnitsei
ОМ - Прикроватная тумба Ascet,Мебель,"Тумбы, комоды",Дерево,Современный,390 см,390 см,410 см,,https://3ddd.ru/3dmodels/show/om_prikrovatnaia_tumba_ascet
(ОМ) Тумбочка №12 Мэйлин Romano Home,Мебель,"Тумбы, комоды",Дерево,Этнический,,,,"rgb(0, 0, 0)",https://3ddd.ru/3dmodels/show/om_tumbochka_12_meilin_romano_home
ОМ THE-IDEA тумба под ТВ CASE 094,Мебель,"Тумбы, комоды",Дерево,Современный,184 см,45 см,56 см,"rgb(48, 213, 199)",https://3ddd.ru/3dmodels/show/om_the_idea_tumba_pod_tv_case_094
ОМ THE-IDEA узкая витрина CASE 164,Мебель,Шкафы,"Дерево, Стекло",Классический,58 см,45 см,212 см,"rgb(120, 60, 0)",https://3ddd.ru/3dmodels/show/om_the_idea_uzkaia_vitrina_case_164
Шкаф Osobica,Мебель,Шкафы,Дерево,Современный,90 см,40 см,170 см,,https://3ddd.ru/3dmodels/show/shkaf_osobica_1
ОМ THE-IDEA узкая витрина CASE 161,Мебель,Шкафы,"Дерево, Стекло",Современный,58 см,45 см,190 см,"rgb(234, 214, 189)",https://3ddd.ru/3dmodels/show/om_the_idea_uzkaia_vitrina_case_161
Шкаф LoftDesigne 80595 model,Мебель,Шкафы,Дерево,Этнический,120 см,45 см,230 см,"rgb(0, 0, 0)",https://3ddd.ru/3dmodels/show/shkaf_loftdesigne_80595_model
Стеллаж,Мебель,Шкафы,Дерево,Классический,124 см,46 см,199 см,"rgb(120, 60, 0)",https://3ddd.ru/3dmodels/show/stellazh_115
